set_name,acc,fp,fn,detected
C_Easy1_noise005,0.9778030734206034,0,78,3436
C_Easy1_noise01,0.9775695627484384,0,79,3443
C_Easy1_noise015,0.9542709232096636,0,159,3318
C_Easy1_noise02,0.9276485788113695,9,243,3240
C_Easy2_noise005,0.9771260997067449,0,78,3332
C_Easy2_noise01,0.9826704545454545,0,61,3459
C_Easy2_noise015,0.9818288393903869,1,61,3351
C_Easy2_noise02,0.9768165111676562,11,71,3466
C_Difficult1_noise005,0.9825598581141,0,59,3324
C_Difficult1_noise01,0.9820237750072485,1,61,3388
C_Difficult1_noise015,0.9818652849740933,2,61,3413
C_Difficult1_noise02,0.979203280609256,0,71,3343
C_Difficult2_noise005,0.9803863298662704,1,65,3300
C_Difficult2_noise01,0.983256351039261,2,56,3408
C_Difficult2_noise015,0.9753551754131632,9,76,3373
C_Difficult2_noise02,0.9228889492261743,190,94,3589
