AT,DVT,ED,ED-DVT,Δ,Δ-DVT,NEO,NEO-DVT
1.461632861212051604e-01,2.849446535115504053e-01,8.326090562563249753e-01,8.507028239633015465e-01,2.559673285767897211e-01,2.710387915592569197e-01,8.387522057149126020e-01,8.473040635178724633e-01
1.633293511686480515e-01,3.096997972709615854e-01,8.418434223364513747e-01,8.614227098029654250e-01,2.775370615798073426e-01,2.931945604819080065e-01,8.510053055961659396e-01,8.613515129704827356e-01
1.816739442124170600e-01,3.342836852278878723e-01,8.503670934987375141e-01,8.715294371937603035e-01,2.996478451610115057e-01,3.159228440537730775e-01,8.611409632928335167e-01,8.733836329299087264e-01
2.005748536328271214e-01,3.582088785945823917e-01,8.585250199045026953e-01,8.806498084132452497e-01,3.212147712150422718e-01,3.387045476731629368e-01,8.709464559897632796e-01,8.849484237491508365e-01
2.204862168865036609e-01,3.822326620459557955e-01,8.652481262191449307e-01,8.882404041339535539e-01,3.427891083650453363e-01,3.609368372006755421e-01,8.801258496942219178e-01,8.951986660061846957e-01
2.398911947767317088e-01,4.063291104053758929e-01,8.713128753535701598e-01,8.949169292877018345e-01,3.649065536723623548e-01,3.840819180055716764e-01,8.877150874456076757e-01,9.041468617767828286e-01
2.593459376584914544e-01,4.294665399367630920e-01,8.763952991811088111e-01,9.005561016312746414e-01,3.875606795436104535e-01,4.071889590464324304e-01,8.948324365413267145e-01,9.125397007909445968e-01
2.793631844387142182e-01,4.520956996966046249e-01,8.798905835274021259e-01,9.044949059154498983e-01,4.101175408922496102e-01,4.306775312070167394e-01,9.007388135005323093e-01,9.199491786307171237e-01
2.999243042186965913e-01,4.752532644595366396e-01,8.824713791756243486e-01,9.073057233889905149e-01,4.333094587542902776e-01,4.548498784581787024e-01,9.059847072451956418e-01,9.262238851379844817e-01
3.204148254172152765e-01,4.971766134359857370e-01,8.826972009054863122e-01,9.078319802322079024e-01,4.574293227980541499e-01,4.797379900677797293e-01,9.108740728993776070e-01,9.320094932362472662e-01
3.415147722377102624e-01,5.198097024120120757e-01,8.816820275645522731e-01,9.069965699547541949e-01,4.819496302049608993e-01,5.048470800232162103e-01,9.150526565304579751e-01,9.369763487827489357e-01
